ID_Funcionario,Horas_Treinamento_Ano,Projetos_Entregues,Tempo_Empresa_Anos,Direito_Home_Office,Processos_Disciplinares,Nota_Desempenho_Final
10001,76.0,12.0,2.3,1.0,0.0,64.8
10002,76.0,12.0,7.5,1.0,0.0,80.1
10003,44.0,7.0,5.7,1.0,0.0,59.9
10004,19.0,3.0,1.2,1.0,0.0,40.1
10005,55.0,8.0,3.6,1.0,0.0,60.4
10006,43.0,7.0,9.1,1.0,0.0,61.4
10007,73.0,9.0,0.5,1.0,0.0,71.4
10008,35.0,7.0,3.9,1.0,0.0,52.4
10009,35.0,6.0,8.2,1.0,1.0,51.3
10010,46.0,7.0,2.8,1.0,0.0,53.6
10011,29.0,4.0,3.3,1.0,0.0,48.1
10012,54.0,8.0,4.8,1.0,0.0,57.6
10013,101.0,16.0,8.7,1.0,0.0,86.8
10014,104.0,16.0,3.4,1.0,0.0,80.2
10015,22.0,5.0,3.9,1.0,0.0,45.4
10016,46.0,9.0,3.9,1.0,0.0,56.7
10017,77.0,13.0,10.5,1.0,0.0,85.7
10018,35.0,4.0,10.5,1.0,0.0,57.7
10019,111.0,16.0,7.5,1.0,0.0,93.6
10020,88.0,14.0,6.0,1.0,1.0,79.1
10021,34.0,7.0,6.8,1.0,0.0,56.3
10022,22.0,3.0,8.7,1.0,0.0,56.4
10023,18.0,3.0,2.7,1.0,0.0,46.3
10024,31.0,6.0,7.9,1.0,0.0,56.3
10025,54.0,8.0,1.9,1.0,0.0,61.3
10026,93.0,13.0,3.4,1.0,0.0,78.8
10027,26.0,6.0,7.3,1.0,0.0,56.5
10028,14.0,1.0,1.4,1.0,0.0,46.1
10029,108.0,15.0,4.6,1.0,0.0,78.4
10030,47.0,7.0,2.8,1.0,0.0,50.3
10031,46.0,7.0,4.4,1.0,0.0,62.6
10032,68.0,9.0,0.5,1.0,0.0,65.0
10033,56.0,10.0,0.6,1.0,0.0,68.2
10034,42.0,7.0,3.3,1.0,0.0,63.3
10035,89.0,14.0,7.3,1.0,0.0,82.8
10036,97.0,15.0,4.6,1.0,0.0,82.5
10037,101.0,15.0,5.0,1.0,0.0,85.4
10038,95.0,16.0,6.7,1.0,0.0,79.6
10039,86.0,12.0,2.8,1.0,0.0,80.7
10040,31.0,4.0,5.7,1.0,0.0,56.1
10041,90.0,14.0,3.0,1.0,0.0,82.7
10042,40.0,7.0,0.7,1.0,0.0,39.7
10043,89.0,14.0,4.0,1.0,0.0,71.0
10044,21.0,2.0,6.4,1.0,0.0,46.7
10045,57.0,7.0,5.8,1.0,0.0,57.4
10046,53.0,7.0,5.0,1.0,0.0,67.3
10047,14.0,3.0,11.0,1.0,0.0,49.6
10048,107.0,17.0,6.0,1.0,0.0,85.9
10049,84.0,13.0,7.4,1.0,0.0,80.5
10050,96.0,15.0,10.6,1.0,0.0,85.8
10051,83.0,11.0,1.8,1.0,0.0,68.9
10052,48.0,7.0,2.4,1.0,0.0,64.1
10053,66.0,8.0,9.4,1.0,0.0,74.9
10054,24.0,4.0,3.0,1.0,0.0,51.0
10055,28.0,4.0,5.1,1.0,0.0,50.8
10056,46.0,7.0,7.7,1.0,0.0,64.4
10057,81.0,12.0,7.2,1.0,0.0,80.0
10058,76.0,11.0,9.4,1.0,0.0,71.7
10059,95.0,13.0,8.7,1.0,0.0,77.8
10060,69.0,10.0,7.7,1.0,0.0,73.0
10061,84.0,13.0,3.1,1.0,0.0,73.9
10062,15.0,2.0,7.0,1.0,0.0,48.1
10063,113.0,17.0,5.8,1.0,0.0,86.9
10064,103.0,16.0,1.7,1.0,0.0,78.5
10065,113.0,17.0,8.5,1.0,0.0,96.4
10066,29.0,4.0,7.0,1.0,0.0,56.2
10067,26.0,3.0,5.1,1.0,0.0,54.0
10068,69.0,9.0,4.4,1.0,0.0,64.2
10069,102.0,15.0,2.0,1.0,0.0,82.3
10070,91.0,15.0,5.5,1.0,0.0,77.4
10071,38.0,7.0,6.2,1.0,0.0,59.5
10072,62.0,9.0,2.9,1.0,0.0,57.3
10073,36.0,4.0,7.9,1.0,0.0,52.7
10074,72.0,9.0,2.3,1.0,0.0,70.4
10075,72.0,10.0,0.5,1.0,0.0,64.7
10076,19.0,3.0,7.6,1.0,0.0,58.6
10077,80.0,11.0,4.0,1.0,0.0,75.2
10078,21.0,4.0,4.7,1.0,0.0,44.4
10079,13.0,2.0,2.9,1.0,0.0,46.1
10080,104.0,17.0,1.0,1.0,0.0,79.3
10081,37.0,5.0,8.1,1.0,0.0,63.1
10082,61.0,10.0,3.3,1.0,0.0,63.2
10083,113.0,16.0,9.2,1.0,0.0,90.9
10084,79.0,13.0,7.0,1.0,0.0,77.8
10085,51.0,9.0,4.2,1.0,0.0,67.2
10086,104.0,17.0,2.3,1.0,0.0,82.5
10087,34.0,5.0,3.2,1.0,0.0,51.0
10088,64.0,9.0,2.0,1.0,0.0,66.6
10089,72.0,11.0,10.2,1.0,0.0,76.6
10090,74.0,13.0,5.4,1.0,0.0,72.9
10091,12.0,1.0,7.9,1.0,0.0,44.9
10092,51.0,6.0,1.8,1.0,0.0,66.1
10093,67.0,8.0,5.5,1.0,0.0,69.5
10094,60.0,9.0,7.9,1.0,0.0,70.6
10095,100.0,13.0,4.2,1.0,0.0,87.8
10096,90.0,15.0,7.6,1.0,0.0,79.1
10097,113.0,19.0,2.3,1.0,0.0,81.8
10098,35.0,5.0,1.6,1.0,0.0,50.9
10099,27.0,6.0,5.9,1.0,0.0,54.9
10100,32.0,5.0,4.1,1.0,0.0,56.6
10101,82.0,12.0,6.6,1.0,0.0,66.9
10102,38.0,5.0,0.5,1.0,0.0,45.0
10103,83.0,14.0,6.8,1.0,0.0,75.7
10104,85.0,14.0,11.5,1.0,0.0,78.9
10105,19.0,1.0,4.9,1.0,0.0,39.3
10106,91.0,12.0,5.1,1.0,0.0,74.8
10107,45.0,5.0,5.4,1.0,0.0,47.4
10108,34.0,5.0,0.5,1.0,0.0,50.9
10109,38.0,4.0,6.1,1.0,0.0,56.8
10110,109.0,16.0,1.0,1.0,0.0,82.0
10111,77.0,11.0,3.9,1.0,0.0,67.3
10112,81.0,11.0,8.1,1.0,0.0,77.9
10113,34.0,7.0,3.2,1.0,0.0,55.3
10114,50.0,9.0,6.3,1.0,0.0,63.7
10115,99.0,17.0,7.5,1.0,0.0,91.6
10116,47.0,9.0,5.7,1.0,0.0,64.8
10117,99.0,15.0,1.6,1.0,0.0,65.7
10118,32.0,5.0,4.2,1.0,0.0,55.6
10119,91.0,13.0,9.9,1.0,0.0,88.8
10120,23.0,4.0,0.5,1.0,0.0,46.1
10121,100.0,14.0,4.3,1.0,0.0,80.2
10122,84.0,11.0,3.6,1.0,0.0,75.5
10123,115.0,17.0,5.3,1.0,0.0,87.7
10124,13.0,3.0,6.9,1.0,0.0,49.1
10125,25.0,4.0,9.0,1.0,0.0,57.8
10126,13.0,3.0,4.3,1.0,0.0,45.3
