ID_Colaborador,Nivel_Senioridade,Salario_Mensal_BRL,Dias_Presenciais_Semana,Acidente_Trabalho_Ano,Horas_Extras_Mensais,Probabilidade_Turnover_Perc
1,4,13258.09,5,0.0,28.0,53.6
2,5,17104.17,5,0.0,59.0,81.8
3,3,10558.88,5,0.0,47.0,88.7
4,5,17410.98,5,0.0,46.0,68.1
5,5,17829.77,5,0.0,45.0,62.8
6,2,6950.15,5,0.0,9.0,41.1
7,3,10799.21,5,0.0,13.0,46.0
8,3,11100.39,5,0.0,28.0,58.0
9,3,10448.92,5,0.0,16.0,44.1
10,5,17722.06,5,0.0,25.0,39.0
11,4,13298.09,5,0.0,53.0,80.0
12,3,10450.44,5,0.0,49.0,84.6
13,5,17007.22,5,0.0,38.0,65.0
14,2,7058.09,5,0.0,51.0,90.5
15,4,14094.4,5,0.0,47.0,70.4
16,2,7093.07,5,0.0,26.0,71.8
17,4,13807.95,5,0.0,12.0,30.6
18,5,18419.39,5,0.0,31.0,44.8
19,1,2992.79,5,0.0,44.0,100.0
20,4,13468.34,5,0.0,26.0,42.3
21,2,7661.99,5,0.0,40.0,86.1
22,5,17218.29,5,0.0,6.0,17.0
23,4,13622.12,5,0.0,45.0,74.2
24,1,4421.16,5,0.0,49.0,100.0
25,1,3894.29,5,0.0,42.0,89.8
26,3,10262.21,5,0.0,58.0,100.0
27,3,10587.0,5,0.0,50.0,82.8
28,2,7778.35,5,0.0,54.0,100.0
29,4,14276.65,5,0.0,56.0,91.4
30,4,14514.46,5,0.0,48.0,82.6
31,3,10821.92,5,0.0,40.0,73.2
32,4,14372.1,5,0.0,0.0,20.7
33,4,14015.9,5,0.0,28.0,49.7
34,1,3504.54,5,0.0,34.0,95.6
35,3,10606.82,5,0.0,18.0,51.8
36,5,17793.78,5,0.0,19.0,33.3
37,3,10386.67,5,0.0,58.0,96.8
38,5,17548.82,5,0.0,54.0,76.2
39,1,3375.86,5,0.0,51.0,100.0
40,2,7046.27,5,0.0,24.0,62.0
41,4,13499.6,5,0.0,1.0,17.0
42,1,4542.39,5,0.0,5.0,47.0
43,4,13706.82,5,0.0,19.0,34.8
44,2,6855.42,5,0.0,1.0,38.7
45,2,6672.29,5,0.0,1.0,31.2
46,1,3746.28,5,0.0,55.0,100.0
47,2,6921.6,5,0.0,42.0,84.8
48,5,17114.48,5,0.0,19.0,31.6
49,2,7262.75,5,0.0,8.0,44.8
50,4,14316.66,5,0.0,31.0,52.0
51,4,13973.25,5,0.0,0.0,16.4
52,4,13734.55,5,0.0,56.0,89.0
53,4,14876.43,5,0.0,25.0,51.0
54,5,17636.03,5,0.0,24.0,41.9
55,3,9990.37,5,0.0,23.0,54.3
56,1,4065.62,5,0.0,4.0,47.8
57,4,13657.69,5,0.0,38.0,65.1
58,2,8096.75,5,0.0,44.0,83.5
59,4,14031.86,5,0.0,41.0,74.1
60,2,7405.33,5,0.0,8.0,50.6
61,2,6167.99,5,0.0,35.0,79.6
62,4,13486.34,5,0.0,34.0,56.9
63,5,18033.54,5,0.0,52.0,75.2
64,2,7127.13,5,0.0,23.0,66.2
65,2,7816.96,5,0.0,22.0,54.6
66,4,14194.07,5,0.0,37.0,71.0
67,2,7058.12,5,0.0,38.0,70.9
68,2,7685.43,5,0.0,28.0,71.3
69,4,14404.05,5,0.0,27.0,57.2
70,4,13921.5,5,0.0,30.0,53.0
71,1,3062.36,5,0.0,52.0,100.0
72,5,16551.35,5,0.0,28.0,46.5
73,5,17324.93,5,0.0,56.0,86.9
74,2,6525.47,5,0.0,30.0,68.9
75,5,18539.08,5,0.0,57.0,74.4
76,2,6739.85,5,0.0,50.0,91.8
77,1,3228.92,5,0.0,22.0,60.3
78,4,13391.5,5,0.0,52.0,84.7
79,4,13893.47,5,0.0,7.0,23.4
80,4,13734.19,5,0.0,56.0,83.6
81,5,18195.09,5,0.0,38.0,60.0
82,1,3567.39,5,0.0,3.0,44.0
83,5,17496.45,5,0.0,39.0,60.2
84,5,17446.13,5,0.0,58.0,75.0
85,1,3814.47,5,0.0,4.0,51.8
86,1,3319.07,5,0.0,33.0,83.6
87,1,3766.88,5,0.0,45.0,95.4
88,1,4145.59,5,0.0,49.0,100.0
89,4,14184.03,5,0.0,25.0,41.4
90,3,10400.11,5,0.0,12.0,41.2
91,3,10118.62,5,0.0,3.0,28.3
92,1,3389.95,5,0.0,35.0,77.4
93,3,10725.23,5,0.0,27.0,55.3
94,3,9886.99,5,0.0,57.0,93.7
95,1,3832.62,5,0.0,4.0,43.3
96,3,10583.05,5,0.0,41.0,63.3
97,5,17440.32,5,0.0,1.0,17.2
98,2,6736.23,5,0.0,10.0,45.6
99,2,6809.45,5,0.0,27.0,55.3
100,1,3738.92,5,0.0,27.0,85.4
101,4,13948.72,5,0.0,41.0,73.6
102,1,3299.54,5,0.0,55.0,100.0
103,4,14187.43,5,0.0,38.0,59.8
104,2,7203.28,5,0.0,57.0,100.0
105,1,3000.33,5,0.0,53.0,100.0
106,5,17728.59,5,0.0,35.0,54.8
107,3,11500.68,5,0.0,50.0,81.8
108,4,14187.85,5,0.0,39.0,69.8
109,3,9820.4,5,0.0,5.0,29.3
110,3,10570.95,5,0.0,44.0,82.7
111,1,2767.67,5,0.0,6.0,44.8
112,3,11766.95,5,0.0,36.0,82.0
113,5,18394.27,5,0.0,42.0,64.1
114,3,10233.62,5,0.0,4.0,45.2
115,1,2601.73,5,0.0,14.0,62.8
116,5,17148.65,5,0.0,55.0,73.1
117,2,6927.6,5,0.0,37.0,82.5
118,3,9795.25,5,0.0,15.0,48.2
119,1,3472.39,5,0.0,41.0,93.6
120,2,6924.97,5,0.0,36.0,80.1
121,2,7050.06,5,0.0,30.0,73.9
122,4,14091.86,5,0.0,59.0,83.3
123,5,17113.75,5,0.0,41.0,53.9
124,3,10158.63,5,0.0,23.0,49.1
125,1,3518.24,5,0.0,48.0,100.0
126,4,13747.6,5,0.0,53.0,80.6
127,5,17863.0,5,0.0,8.0,14.1
128,4,14014.36,5,0.0,12.0,36.3
129,5,18246.0,5,0.0,13.0,27.0
130,5,17828.19,5,0.0,41.0,60.6
131,3,10941.49,5,0.0,36.0,68.1
132,5,17553.03,5,0.0,37.0,52.7
133,4,14062.94,5,0.0,56.0,81.5
134,5,18192.53,5,0.0,47.0,70.5
135,3,10348.68,5,0.0,8.0,31.7
136,3,10718.71,5,0.0,21.0,52.1
137,4,13893.5,5,0.0,26.0,57.7
138,2,6892.55,5,0.0,24.0,60.8
139,2,6532.44,5,0.0,40.0,87.0
140,5,17202.99,5,0.0,54.0,77.1
141,1,3128.69,5,0.0,18.0,65.6
142,5,17737.75,5,0.0,33.0,51.9
143,4,14416.08,5,0.0,47.0,74.4
144,4,13962.1,5,0.0,25.0,48.1
145,4,14091.85,5,0.0,10.0,27.4
146,4,13939.01,5,0.0,28.0,52.4
147,4,13675.69,5,0.0,3.0,19.0
148,3,10844.91,5,0.0,57.0,98.9
149,2,7261.01,5,0.0,4.0,30.9
150,4,13242.98,5,0.0,26.0,52.0
151,1,3386.76,5,0.0,32.0,81.8
152,1,3147.19,5,0.0,59.0,100.0
153,1,3343.62,5,0.0,10.0,59.1
154,1,3231.83,5,0.0,7.0,48.8
155,3,10481.43,5,0.0,1.0,27.9
156,1,3368.03,5,0.0,9.0,44.6
157,4,13859.54,5,0.0,12.0,30.8
158,5,17942.96,5,0.0,38.0,59.7
159,1,3722.87,5,0.0,13.0,51.1
160,3,10218.44,5,0.0,1.0,28.3
161,3,10277.78,5,0.0,50.0,82.1
162,1,3696.72,5,0.0,22.0,67.8
163,5,17696.17,5,0.0,21.0,32.4
164,1,3258.49,5,0.0,18.0,57.5
165,3,10406.4,5,0.0,59.0,98.2
166,2,7738.72,5,0.0,10.0,46.0
167,4,13765.38,5,0.0,54.0,85.7
168,3,11264.32,5,0.0,47.0,85.9
169,1,3941.47,5,0.0,5.0,53.6
170,4,14690.17,5,0.0,59.0,89.7
171,1,3248.37,5,0.0,16.0,67.9
172,1,3432.58,5,0.0,6.0,44.2
173,2,6820.33,5,0.0,50.0,98.3
174,4,14450.7,5,0.0,42.0,71.2
175,4,13772.93,5,0.0,37.0,63.6
176,2,7292.49,5,0.0,9.0,47.5
177,3,10771.32,5,0.0,29.0,55.6
178,1,3480.79,5,0.0,47.0,92.2
179,5,18019.46,5,0.0,18.0,40.4
180,1,3543.07,5,0.0,19.0,63.6
181,1,3833.63,5,0.0,0.0,41.3
182,3,10302.12,5,0.0,10.0,33.0
183,1,3210.63,5,0.0,53.0,97.6
184,2,7292.46,5,0.0,27.0,65.4
185,2,7172.34,5,0.0,59.0,100.0
186,4,14097.32,5,0.0,24.0,46.5
187,5,17362.52,5,0.0,43.0,61.9
188,1,4119.68,5,0.0,17.0,74.7
189,1,3053.37,5,0.0,22.0,66.5
190,3,10031.46,5,0.0,11.0,47.6
191,2,7376.87,5,0.0,21.0,67.2
192,5,17844.04,5,0.0,33.0,53.2
193,4,14141.51,5,0.0,60.0,88.2
194,2,6884.82,5,0.0,40.0,75.0
195,4,14200.97,5,0.0,12.0,34.7
196,3,11188.33,5,0.0,3.0,34.3
197,3,11506.22,5,0.0,8.0,43.8
198,1,2837.43,5,0.0,34.0,77.8
199,5,17332.43,5,0.0,46.0,63.9
200,4,13807.29,5,0.0,56.0,81.0
201,2,7650.61,5,0.0,1.0,32.0
202,3,9507.48,5,0.0,31.0,67.0
203,1,3705.53,5,0.0,28.0,72.5
204,1,3397.28,5,0.0,39.0,85.1
205,4,14655.25,5,0.0,34.0,62.3
206,3,11100.42,5,0.0,41.0,77.7
207,5,17646.2,5,0.0,39.0,59.1
208,3,9868.11,5,0.0,7.0,31.2
209,4,13770.44,5,0.0,48.0,82.0
210,4,13814.24,5,0.0,7.0,26.9
211,3,9969.42,5,0.0,42.0,88.2
212,4,14461.83,5,0.0,25.0,48.8
213,3,9918.63,5,0.0,31.0,51.3
214,2,7786.13,5,0.0,54.0,87.1
215,3,11285.13,5,0.0,53.0,93.2
216,3,10345.98,5,0.0,49.0,91.4
217,4,14131.4,5,0.0,31.0,50.8
218,4,13971.09,5,0.0,44.0,81.5
219,1,3860.73,5,0.0,31.0,87.2
220,1,4009.87,5,0.0,52.0,100.0
221,2,7103.2,5,0.0,24.0,65.7
222,1,3687.65,5,0.0,58.0,100.0
