ID_Pedido,Valor_Frete_BRL,Tempo_Entrega_Horas,Qtd_Itens_Pacote,Status_Atraso,Regiao_Destino
1,11.35,35.0,2,0,Sul
2,22.71,22.6,2,1,Leste
3,21.33,27.5,3,0,Oeste
4,19.91,27.9,7,0,Sul
5,28.13,10.0,2,0,Oeste
6,26.05,72.1,1,0,Norte
7,31.29,6.6,2,0,Leste
8,21.45,16.8,2,0,Leste
9,29.82,23.4,1,0,Sul
10,25.06,184.0,2,0,Leste
11,29.77,30.5,2,0,Sul
12,24.38,42.7,5,1,Leste
13,39.22,16.4,7,0,Leste
14,5.47,66.4,2,0,Leste
15,30.0,351.3,2,0,Sul
16,31.85,49.1,2,0,Sul
17,14.87,25.3,3,0,Norte
18,39.6,6.5,1,0,Sul
19,25.18,57.7,6,0,Leste
20,24.0,15.0,3,0,Oeste
21,27.97,18.1,3,0,Leste
22,32.1,69.8,2,0,Leste
23,26.06,22.7,2,0,Oeste
24,25.81,30.7,2,0,Leste
25,31.7,60.3,7,0,Oeste
26,32.75,18.8,3,0,Leste
27,27.69,11.8,2,0,Sul
28,12.62,48.0,1,0,Norte
29,16.85,60.6,5,0,Leste
30,33.68,20.9,1,0,Sul
31,22.78,20.1,5,0,Sul
32,20.21,13.7,2,0,Leste
33,28.52,58.6,4,0,Leste
34,27.53,153.7,3,1,Leste
35,23.25,69.8,3,1,Sul
36,30.95,30.8,4,0,Sul
37,14.86,58.7,2,0,Leste
38,11.14,17.0,2,0,Oeste
39,37.02,44.5,2,0,Leste
40,16.02,13.9,3,0,Oeste
41,13.2,30.0,2,0,Leste
42,22.39,78.3,2,0,Leste
43,692.95,63.4,2,0,Sul
44,21.17,52.2,4,1,Leste
45,23.17,46.2,7,0,Leste
46,13.63,18.4,3,0,Leste
47,30.71,37.1,1,0,Leste
48,12.76,62.0,1,0,Leste
49,25.18,27.3,4,0,Sul
50,26.87,28.1,4,0,Leste
51,30.19,22.7,5,1,Sul
52,26.82,26.4,3,0,Leste
53,16.29,17.8,1,1,Sul
54,21.71,33.8,3,1,Norte
55,19.37,25.6,4,0,Leste
56,12.42,10.2,3,1,Leste
57,28.48,265.3,2,0,Leste
58,18.95,14.4,3,0,Sul
59,26.19,29.7,3,0,Leste
60,24.11,34.8,2,0,Sul
61,15.91,21.6,2,0,Oeste
62,15.38,30.8,5,0,Oeste
63,22.32,17.2,3,0,Leste
64,14.49,59.2,5,0,Sul
65,32.91,32.5,2,0,Leste
66,35.76,58.8,2,0,Norte
67,31.26,107.3,4,0,Leste
68,27.79,26.4,3,0,Sul
69,25.49,61.5,2,0,Oeste
70,16.62,113.2,2,1,Norte
71,31.62,30.0,2,0,Leste
72,35.97,57.6,2,0,Leste
73,22.28,22.8,1,0,Leste
74,24.71,86.3,4,0,Norte
75,18.54,22.2,5,0,Oeste
76,22.35,58.1,2,0,Leste
77,14.94,73.4,4,0,Leste
78,22.69,12.9,1,0,Sul
79,28.46,19.4,4,0,Leste
80,27.6,18.8,2,0,Leste
81,27.01,78.6,3,0,Norte
82,5.47,12.9,4,0,Sul
83,25.38,43.0,3,0,Leste
84,29.91,59.2,2,0,Sul
85,24.93,37.9,2,0,Sul
86,34.08,91.8,3,0,Leste
87,24.2,7.1,2,0,Leste
88,28.18,53.9,3,0,Norte
89,16.98,28.6,3,1,Leste
90,29.69,9.9,4,0,Sul
91,31.29,13.9,6,0,Norte
92,19.29,115.8,3,0,Norte
93,13.56,54.9,3,0,Leste
94,21.39,62.9,2,0,Sul
95,17.01,71.3,5,0,Norte
96,29.79,11.2,3,0,Leste
97,21.09,40.3,3,0,Leste
98,30.75,79.7,1,0,Sul
99,12.49,24.0,2,0,Leste
100,18.37,98.5,2,0,Norte
101,18.89,20.3,2,0,Leste
102,27.21,36.6,3,0,Leste
103,8.39,45.5,4,0,Leste
104,22.8,60.6,4,0,Sul
105,22.08,26.3,5,1,Sul
106,27.89,74.4,4,0,Sul
107,25.4,46.6,2,0,Sul
108,17.36,8.9,4,0,Norte
109,1272.63,143.9,2,0,Leste
110,18.83,15.4,3,0,Oeste
111,14.87,153.7,1,0,Oeste
112,15.33,29.2,2,0,Oeste
113,19.12,25.2,2,1,Leste
114,31.54,45.6,5,0,Leste
115,14.85,18.9,2,0,Sul
116,10.16,7.3,3,0,Leste
117,20.36,30.3,3,0,Leste
118,22.77,44.7,2,0,Leste
119,22.24,113.3,4,1,Leste
120,19.72,12.8,5,0,Sul
121,23.04,52.7,1,0,Sul
122,26.72,30.5,3,1,Oeste
123,18.02,34.0,3,0,Norte
124,33.02,72.1,6,0,Leste
125,23.54,22.0,3,0,Oeste
126,32.84,37.9,3,0,Leste
127,27.11,79.2,5,0,Leste
128,14.92,75.5,2,0,Sul
129,9.36,12.5,5,0,Sul
130,33.52,20.3,4,0,Oeste
131,17.7,29.5,7,0,Leste
132,24.22,63.5,1,0,Leste
133,20.18,27.1,4,0,Norte
134,35.74,35.4,2,0,Norte
135,24.4,90.0,2,1,Oeste
136,13.96,25.3,3,0,Sul
137,22.89,107.6,3,0,Leste
138,34.0,9.2,2,0,Norte
139,18.04,24.2,3,0,Leste
140,12.51,11.1,4,1,Oeste
141,30.84,36.4,3,1,Leste
142,17.17,60.4,3,0,Sul
143,11.4,29.1,5,0,Leste
144,17.44,22.7,2,0,Leste
145,26.78,11.2,1,0,Leste
146,28.09,127.1,4,0,Oeste
147,27.75,32.5,3,0,Leste
148,16.37,23.1,6,0,Oeste
149,31.77,115.6,4,0,Leste
150,30.47,25.0,8,0,Sul
151,28.46,16.0,2,1,Sul
152,16.16,18.8,5,0,Sul
153,19.79,16.7,2,0,Oeste
154,27.25,14.1,3,0,Leste
155,29.37,19.0,5,1,Leste
156,16.63,228.6,3,0,Sul
157,38.74,13.2,1,0,Sul
158,23.64,10.0,3,0,Leste
159,32.34,41.4,3,0,Leste
160,14.81,31.2,1,0,Sul
161,26.4,56.2,2,0,Leste
162,14.63,21.3,4,0,Norte
163,25.97,16.5,1,0,Sul
164,28.46,126.3,2,0,Leste
165,28.9,9.1,2,0,Sul
166,18.86,44.2,3,0,Oeste
167,10.21,57.5,1,0,Sul
168,27.34,63.9,1,0,Sul
169,21.57,26.0,1,0,Sul
170,21.57,12.2,4,0,Leste
171,17.38,109.9,4,0,Leste
172,24.33,23.2,1,0,Leste
173,24.72,112.6,3,0,Norte
174,33.2,44.5,4,0,Norte
175,8.63,22.5,6,0,Leste
176,14.18,45.4,4,0,Leste
177,28.44,83.1,2,0,Oeste
178,7.15,35.4,4,0,Norte
179,18.98,18.4,3,1,Leste
180,43.76,7.9,1,0,Oeste
181,22.54,23.6,3,0,Sul
182,30.36,63.2,5,0,Leste
183,11.31,14.8,4,1,Sul
184,30.36,57.1,3,0,Oeste
185,21.74,33.9,4,0,Leste
186,27.07,60.1,4,0,Oeste
187,29.21,5.1,2,0,Leste
188,20.64,10.6,2,0,Sul
189,28.65,22.9,6,0,Oeste
190,15.79,147.4,3,0,Sul
191,25.19,18.1,5,0,Sul
192,28.92,29.9,5,1,Leste
193,20.44,185.0,3,1,Leste
194,17.06,46.7,3,0,Oeste
195,21.11,65.9,4,0,Sul
196,33.48,19.8,5,0,Leste
197,32.25,85.0,2,0,Leste
198,30.85,96.1,3,1,Norte
199,37.06,49.5,2,1,Sul
200,25.05,30.9,7,0,Sul
201,26.41,51.8,3,0,Sul
202,9.06,9.0,3,0,Oeste
203,17.72,79.1,2,0,Leste
204,29.09,16.8,5,1,Leste
205,31.95,26.5,3,0,Oeste
206,14.66,95.0,4,0,Sul
207,24.26,79.7,2,0,Leste
208,42.28,9.1,5,0,Leste
209,24.3,15.5,5,0,Oeste
210,36.56,55.3,1,0,Sul
