ID_Campanha,Investimento_Ads_BRL,Visitas_Site,Taxa_Desconto_Perc,Taxa_Imposto_Estadual,Vendas_Totais_BRL
1,38794.71,102472.0,11.7,18.0,1514331.91
2,2016.85,2349.0,11.8,18.0,7856.12
3,32048.76,91100.0,29.7,18.0,1327471.6
4,37691.39,90715.0,26.5,18.0,1320363.12
5,25426.84,63264.0,5.4,18.0,948491.7
6,12015.04,31124.0,23.6,18.0,415105.38
7,10705.08,19138.0,34.5,18.0,253291.48
8,38266.0,97954.0,11.1,18.0,1432650.2
9,9286.43,23321.0,26.4,18.0,287720.15
10,5328.65,14103.0,7.5,18.0,186781.97
11,34582.63,91645.0,6.1,18.0,1348338.41
12,47716.27,119519.0,20.3,18.0,1751894.45
13,1193.47,8520.0,5.3,18.0,134377.23
14,26097.42,58555.0,23.2,18.0,805122.47
15,40818.43,100778.0,18.1,18.0,1480648.86
16,31013.78,83809.0,14.8,18.0,1256305.08
17,36366.01,90512.0,28.8,18.0,1273837.89
18,15301.93,32151.0,29.5,18.0,400923.86
19,45970.93,109148.0,15.9,18.0,1574846.87
20,36014.21,86249.0,19.7,18.0,1239127.18
21,27584.67,62400.0,22.2,18.0,900656.37
22,7966.33,22393.0,30.0,18.0,285940.87
23,19293.7,34159.0,13.6,18.0,484002.44
24,34032.55,80974.0,11.5,18.0,1197099.88
25,22649.83,49671.0,28.5,18.0,685092.68
26,22266.69,48801.0,10.1,18.0,738011.25
27,31270.58,75329.0,6.9,18.0,1112704.7
28,26143.77,59185.0,34.7,18.0,836651.92
29,32869.46,84562.0,21.5,18.0,1216266.46
30,30450.91,72180.0,12.3,18.0,1061005.55
31,40455.94,98379.0,33.2,18.0,1417076.25
32,26560.71,70590.0,24.6,18.0,954358.98
33,45523.8,115173.0,29.0,18.0,1691399.43
34,16642.57,42238.0,34.4,18.0,557231.45
35,5432.51,13452.0,33.2,18.0,138551.89
36,15734.3,33714.0,8.6,18.0,454775.64
37,6585.23,17971.0,14.6,18.0,244506.76
38,41605.38,114606.0,22.3,18.0,1683415.75
39,3297.92,6930.0,19.3,18.0,55179.5
40,31688.07,74203.0,23.3,18.0,1074787.03
41,27831.72,61990.0,26.0,18.0,841574.66
42,41145.06,93253.0,14.9,18.0,1363928.6
43,10748.43,25154.0,34.3,18.0,303223.29
44,42985.66,104762.0,33.3,18.0,1509744.88
45,18230.98,50803.0,5.2,18.0,794553.75
46,37977.74,94545.0,19.4,18.0,1374355.0
47,15502.12,42062.0,25.5,18.0,610070.15
48,44312.89,113899.0,22.6,18.0,1639525.46
49,16950.07,48368.0,34.4,18.0,673466.89
50,9085.78,21171.0,28.2,18.0,259475.54
51,20233.93,55436.0,13.2,18.0,801604.93
52,5579.56,16204.0,19.0,18.0,220994.18
53,41234.18,97772.0,15.1,18.0,1440529.79
54,8406.45,15890.0,22.5,18.0,175956.19
55,19821.61,51652.0,23.1,18.0,683629.43
56,47268.77,116595.0,8.9,18.0,1737011.02
57,49393.65,112430.0,20.7,18.0,1662224.62
58,23358.92,59681.0,13.6,18.0,856508.59
59,41480.02,105003.0,22.4,18.0,1514761.57
60,13317.33,34284.0,15.5,18.0,512031.59
61,30271.21,83307.0,16.6,18.0,1197958.33
62,45238.76,111106.0,6.2,18.0,1661382.34
63,27193.34,60301.0,21.0,18.0,835091.92
64,29919.87,77970.0,7.1,18.0,1154636.31
65,2924.81,8087.0,6.7,18.0,81839.86
66,18501.91,49258.0,14.4,18.0,710226.44
67,4901.04,15489.0,21.3,18.0,152210.45
68,15967.54,40667.0,12.7,18.0,527305.45
69,17205.25,40256.0,18.3,18.0,576614.2
70,38917.68,96967.0,15.7,18.0,1443125.41
71,2958.0,6604.0,16.8,18.0,71583.45
72,22045.12,52831.0,19.4,18.0,740082.36
73,16431.42,41863.0,16.1,18.0,607021.14
74,32188.07,79871.0,32.7,18.0,1129113.96
75,17971.01,45171.0,24.2,18.0,676964.54
76,3111.77,2329.0,13.8,18.0,6716.6
77,44115.84,108861.0,9.2,18.0,1560279.01
78,38398.79,90264.0,17.2,18.0,1311513.3
79,44026.74,104774.0,31.7,18.0,1511083.95
80,21457.95,60529.0,8.7,18.0,924991.61
81,30673.3,71599.0,10.5,18.0,1059995.54
82,26159.86,67828.0,6.5,18.0,1028890.44
83,30294.0,67315.0,26.8,18.0,910608.56
84,13848.57,34104.0,17.3,18.0,489739.31
85,15742.69,44571.0,25.0,18.0,611605.13
86,2244.59,9536.0,22.3,18.0,113930.16
87,15850.07,35918.0,17.9,18.0,479903.91
88,12861.72,36123.0,18.0,18.0,511595.14
89,28321.33,68941.0,31.0,18.0,978253.02
90,28709.84,66938.0,24.2,18.0,985828.56
91,24281.48,54665.0,6.9,18.0,806759.63
92,15347.1,28328.0,6.1,18.0,420644.55
93,4148.3,12718.0,28.0,18.0,98093.61
94,48962.14,126284.0,32.6,18.0,1827246.09
95,17645.68,52470.0,18.6,18.0,756859.07
96,25257.38,61387.0,32.1,18.0,837624.72
97,48876.96,120554.0,20.9,18.0,1765137.73
98,22597.92,53700.0,10.4,18.0,754588.02
99,16595.37,43050.0,7.3,18.0,650574.55
100,26470.05,66959.0,15.1,18.0,959788.38
101,29328.69,65797.0,17.9,18.0,967427.47
102,42842.75,109493.0,28.6,18.0,1597769.93
103,4336.77,13697.0,10.9,18.0,180649.1
104,23762.01,60675.0,21.7,18.0,878336.97
105,39315.51,97083.0,5.6,18.0,1459878.7
106,36211.54,80944.0,31.1,18.0,1160096.68
107,29715.08,74794.0,12.8,18.0,1114316.94
108,2817.63,6510.0,30.9,18.0,6241.36
109,18182.16,43125.0,22.4,18.0,549870.57
110,28596.34,71830.0,16.2,18.0,1007415.45
111,15686.76,38095.0,9.6,18.0,547582.14
112,26104.37,65620.0,24.8,18.0,920877.43
113,33999.88,84416.0,9.7,18.0,1235751.62
114,8800.49,19652.0,17.2,18.0,246762.34
115,3473.41,3137.0,13.0,18.0,51858.86
116,17552.98,37690.0,23.8,18.0,506732.81
117,6295.12,17445.0,26.5,18.0,211722.32
118,9766.24,24231.0,28.0,18.0,310155.9
119,44405.53,113049.0,32.5,18.0,1643800.49
120,18902.88,49440.0,5.1,18.0,705894.51
121,11719.7,28655.0,26.0,18.0,360577.16
122,37872.31,104259.0,19.7,18.0,1521677.01
123,6237.1,13081.0,28.6,18.0,130635.44
124,37485.56,94052.0,12.7,18.0,1354641.62
125,24019.48,57511.0,24.4,18.0,821747.79
126,30314.53,73991.0,7.3,18.0,1072260.78
127,8233.39,15414.0,12.3,18.0,180083.93
128,10017.71,28444.0,32.4,18.0,381671.41
129,32608.53,78871.0,22.7,18.0,1138418.77
130,3382.77,11735.0,5.6,18.0,148337.86
131,13182.01,38276.0,26.5,18.0,506185.26
132,27578.02,68839.0,12.2,18.0,1035734.9
133,12111.89,27623.0,27.7,18.0,332053.82
134,19689.17,50772.0,24.2,18.0,681559.34
135,46189.41,118300.0,27.4,18.0,1701493.05
136,46342.49,119103.0,31.6,18.0,1709595.51
137,28770.75,65289.0,11.3,18.0,960302.86
138,27140.07,75375.0,22.8,18.0,1084168.06
139,1728.14,-74.0,10.9,18.0,20124.79
140,48917.06,115392.0,13.2,18.0,1692698.42
141,29078.42,75773.0,27.2,18.0,1082668.64
142,39796.09,97767.0,34.2,18.0,1389304.33
143,28516.31,71838.0,19.3,18.0,1040404.38
144,43989.43,111050.0,16.2,18.0,1638419.43
145,29625.6,82666.0,20.4,18.0,1203095.37
146,35733.64,90081.0,34.3,18.0,1226105.95
147,8278.14,23044.0,13.4,18.0,341914.86
148,21994.09,53289.0,18.4,18.0,810336.98
149,35000.61,83977.0,8.9,18.0,1252958.17
150,6126.37,19626.0,28.6,18.0,224949.89
151,22540.66,59291.0,15.0,18.0,849991.17
152,9143.91,30736.0,20.9,18.0,437351.39
153,25841.95,60750.0,25.8,18.0,872280.03
154,41132.76,104688.0,28.6,18.0,1503086.55
155,5415.23,17395.0,10.8,18.0,250674.01
